No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings
41,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,Canada,297.32M,-,-,-,37.17,1.77,3.37,-,-,-,-4.99,-438.40%,-9.30%,-52.00%,-,-38.40%,42.10%,762.50%,55.06M,35.18M,2.80%,-0.64%,30.90%,0.09%,2.17%,3.11,-,-,-180.60%,11.00,11.00,0.07,0.07,-,-,-,3.85%,10.20%,-13.60%,45.95%,107.69%,6.93%,1.18,0.35,6.89%,6.83%,4.40%,1.71%,17.23%,-16.92%,25.58%,-34.55%,129.79%,54.23,-3.57%,0.90%,1.90,245.47K,0.50,5.40,-2.70%,"122,867",Feb 01/a
42,ABX,Barrick Gold Corporation,Basic Materials,Gold,Canada,17.55B,8.06,18.05,3.27,2.07,1.82,-,25.14,0.80%,5.90%,1.87,123.10%,13.01%,-34.00%,2.47%,-9.70%,-106.30%,-13.20%,1.17B,1.16B,0.10%,0.00%,72.10%,-2.21%,0.74%,0.81,8.50%,24.30%,9.50%,2.70,1.60,0.66,0.67,39.90%,53.00%,25.70%,2.94%,4.30%,-6.81%,-6.17%,-16.99%,4.01%,-0.36,0.37,2.73%,2.26%,2.35%,5.39%,-6.08%,-2.15%,13.33%,-27.57%,13.33%,58.50,-0.79%,2.29%,2.70,10.68M,1.66,15.05,1.48%,"17,778,254",Feb 14/a
43,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,3.86B,-,-,-,41.39,9.93,10.53,-,-,-,-2.46,-43.30%,27.80%,-40.00%,38.30%,53.00%,12.60%,571.70%,126.31M,120.40M,0.10%,-58.45%,-,1.37%,8.22%,5.80,-61.90%,-67.70%,-52.90%,11.10,11.00,0.00,0.00,91.10%,-,-,8.21%,6.33%,-14.56%,1.80%,1.43%,1.53%,3.51,1.20,5.50%,4.23%,5.42%,6.09%,-1.98%,-2.14%,17.53%,-25.80%,21.99%,59.40,-0.59%,1.42%,2.00,1.71M,2.13,30.57,0.82%,"3,628,700",Feb 27/a
44,ACC,"American Campus Communities, Inc.",Financial,REIT - Residential,USA,5.42B,98.27,55.22,5.58,7.01,1.55,332.63,71.06,4.43%,423.00%,0.40,-25.40%,20.44%,10.20%,17.62%,16.80%,-117.30%,0.30%,136.57M,135.77M,0.58%,0.00%,-,-2.92%,1.63%,2.56,0.90%,1.50%,2.90%,-,-,0.79,0.79,52.20%,15.30%,7.00%,1.87%,-1.32%,-8.65%,-15.80%,-22.00%,-3.24%,0.22,0.62,1.41%,1.51%,-0.20%,-4.01%,-12.45%,-9.48%,3.68%,-23.21%,3.68%,45.14,-0.03%,-0.15%,2.50,862.97K,0.91,39.70,-0.18%,"786,052",Feb 20/a
45,ACCO,ACCO Brands Corporation,Consumer Goods,Office Supplies,USA,1.27B,21.04,9.84,2.10,0.70,1.81,12.53,8.73,-,0.00%,0.58,12.10%,7.42%,22.00%,10.00%,3.40%,33.70%,23.40%,104.88M,104.36M,0.50%,-2.36%,93.70%,0.01%,2.75%,6.04,2.40%,8.90%,9.80%,1.70,1.10,1.39,1.43,33.60%,9.50%,3.50%,-5.47%,-3.97%,-4.35%,0.83%,-5.10%,-0.82%,1.43,0.36,3.19%,2.75%,-3.49%,-5.32%,-1.02%,-12.00%,0.41%,-17.97%,16.91%,39.78,-5.10%,0.39%,2.00,475.26K,1.37,12.10,-4.72%,"651,556",Feb 14/b
46,ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,136.82M,-,-,-,195.45,8.14,16.29,-,-,-,-4.03,44.90%,-11.90%,33.10%,-,-,82.20%,-,7.34M,7.17M,2.70%,-,0.70%,-,0.56%,1.48,-175.70%,-517.50%,79.10%,4.10,-,0.00,0.00,-,-,-,-1.89%,45.62%,0.38%,102.25%,80.00%,34.58%,2.47,1.11,3.07%,7.53%,11.11%,16.65%,63.17%,-10.17%,64.08%,-17.63%,227.27%,61.83,-0.67%,-0.18%,2.00,27.44K,1.15,18.64,-0.85%,"31,688",-
47,ACET,Aceto Corporation,Basic Materials,Chemicals - Major Diversified,USA,336.77M,53.11,9.49,5.31,0.48,0.95,4.48,4.90,2.34%,122.90%,0.21,-70.30%,8.64%,-11.30%,10.00%,7.50%,-91.20%,44.80%,30.34M,29.51M,3.50%,-4.37%,81.90%,0.25%,4.21%,3.54,0.70%,1.80%,3.20%,2.10,1.50,0.77,0.81,21.60%,4.20%,1.10%,-0.72%,7.92%,1.65%,-28.48%,-44.02%,7.45%,1.43,0.34,2.66%,3.08%,2.33%,5.67%,-13.82%,-5.13%,25.42%,-44.50%,33.90%,56.09,-1.07%,0.54%,2.30,350.74K,0.98,11.10,-0.54%,"343,838",Feb 01/a
48,ACFC,Atlantic Coast Financial Corporation,Financial,Regional - Southeast Banks,USA,159.39M,27.67,23.00,-,4.73,1.76,3.22,5.04,-,0.00%,0.37,-16.90%,45.16%,16.00%,-,-2.40%,-29.00%,2.40%,15.40M,12.85M,1.30%,0.00%,55.90%,-4.15%,3.25%,2.58,0.60%,6.50%,25.50%,-,-,0.00,0.00,-,78.20%,17.20%,0.29%,9.18%,15.00%,33.38%,43.15%,9.76%,0.52,0.17,1.26%,1.40%,4.86%,9.16%,22.75%,-0.67%,24.55%,-0.67%,50.00%,70.39,-1.05%,0.77%,3.00,162.11K,0.22,10.35,-0.29%,"36,297",Jan 23
49,ACGL,Arch Capital Group Ltd.,Financial,Property & Casualty Insurance,Bermuda,12.06B,30.18,15.09,2.43,2.37,1.65,13.98,8.49,-,0.00%,3.10,30.20%,104.32%,12.40%,12.42%,7.60%,-119.80%,22.40%,129.11M,125.52M,0.60%,-25.24%,91.60%,1.30%,1.94%,4.54,1.40%,6.00%,9.10%,-,-,0.33,0.33,-,12.00%,8.40%,2.66%,4.37%,-8.76%,-5.76%,5.98%,2.91%,0.61,1.84,2.50%,2.00%,3.94%,1.27%,-2.20%,-3.82%,7.89%,-8.96%,7.89%,60.89,0.04%,-0.01%,2.60,536.51K,0.65,93.41,0.03%,"350,375",Feb 12/a
50,ACH,Aluminum Corporation Of China Limited,Basic Materials,Aluminum,China,16.29B,71.40,2302.50,-,0.56,1.89,5.76,8.12,-,0.00%,0.26,116.70%,-68.00%,2.20%,-,-0.20%,972.50%,38.10%,884.25M,138.36M,-,-,1.60%,1.24%,0.10%,1.50,0.50%,2.60%,3.60%,0.60,0.40,0.95,2.96,6.90%,3.70%,0.50%,6.04%,3.25%,-14.05%,19.61%,47.24%,2.73%,0.00,0.54,1.01%,1.44%,0.81%,5.71%,12.09%,-5.10%,22.39%,-21.75%,67.29%,53.95,0.00%,-0.91%,-,91.44K,0.77,18.42,-0.91%,"70,072",-
51,ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Specialized Health Services,USA,2.88B,17.08,13.53,1.67,1.02,1.17,38.03,8.54,-,0.00%,1.96,-97.00%,10.91%,15.20%,10.23%,67.00%,138.20%,-2.40%,85.81M,85.36M,0.60%,-92.80%,-,0.27%,14.04%,6.86,2.80%,7.40%,3.40%,1.40,1.30,1.30,1.31,-,14.00%,6.10%,0.99%,4.55%,-24.93%,-34.59%,-14.85%,2.82%,0.84,0.96,2.45%,2.79%,0.86%,5.32%,-19.86%,-3.65%,24.63%,-38.26%,24.63%,54.38,-1.27%,0.83%,2.10,1.75M,0.48,33.55,-0.45%,"846,936",Feb 22/a
52,ACHN,"Achillion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,389.02M,-,-,-,25.93,1.13,1.21,-,-,-,-0.49,-37.80%,-17.70%,8.10%,17.58%,127.30%,7.20%,-,136.02M,136.02M,0.11%,-99.18%,82.10%,-14.13%,3.91%,2.14,-17.20%,-17.80%,-16.20%,22.70,22.70,0.00,0.00,-,-,-,-1.38%,-1.38%,-28.68%,-32.23%,-31.41%,-0.69%,1.43,0.14,5.22%,4.46%,-4.36%,-7.74%,-27.71%,-27.41%,6.32%,-49.47%,6.32%,37.94,-4.03%,-0.33%,2.10,2.48M,0.69,2.86,-4.35%,"1,717,453",Feb 22/a
53,ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,USA,24.83M,-,-,-,-,1.36,-,-,-,-,-3.11,-4.60%,-,14.90%,-,-1.60%,33.80%,-,12.29M,7.85M,3.40%,-,3.30%,-,1.75%,0.50,-55.20%,-69.00%,-,3.70,3.70,0.00,0.00,-,-,-,38.36%,64.23%,2.54%,-58.26%,-66.67%,50.38%,1.96,0.24,25.13%,14.73%,42.36%,45.95%,-31.05%,-6.05%,75.65%,-72.59%,75.65%,73.81,22.42%,8.51%,3.00,272.21K,41.02,2.02,32.84%,"11,165,513",-
54,ACIA,"Acacia Communications, Inc.",Technology,Communication Equipment,USA,1.44B,12.27,21.92,30.67,3.26,2.77,4.98,21.51,-,0.00%,2.96,-45.30%,-4.44%,-,0.40%,-,-48.30%,-22.40%,39.60M,33.76M,7.70%,-4.63%,94.10%,-0.30%,22.69%,17.71,20.30%,23.60%,30.90%,6.00,5.30,0.00,0.00,44.50%,16.70%,25.60%,-5.36%,-3.94%,-18.43%,-20.31%,-46.24%,0.30%,-,1.23,3.25%,3.36%,-3.87%,-5.20%,-16.97%,-13.68%,2.77%,-47.76%,2.77%,39.49,-1.60%,-0.27%,1.90,432.65K,0.54,36.34,-1.86%,"235,734",Feb 22/a
55,ACIM,SPDR MSCI ACWI IMI ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,2.25%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.51,-,-,-,-,-,-,-,-,-,-,1.54%,6.88%,9.44%,14.41%,24.92%,6.29%,-,0.59,0.69%,0.58%,3.94%,6.10%,12.57%,0.38%,9.78%,0.38%,26.02%,82.26,-0.32%,0.88%,-,3.88K,1.28,83.82,0.55%,"4,984",-
56,ACIU,AC Immune SA,Healthcare,Biotechnology,USA,782.98M,-,-,-,142.36,6.69,6.40,-,-,-,-0.69,-137.70%,-28.10%,-,-,-,8.80%,-15.40%,56.82M,21.55M,62.04%,0.00%,18.20%,-,7.72%,18.75,-25.40%,-27.80%,-7.30%,14.90,14.90,0.00,0.00,-,-,-,4.55%,14.64%,19.20%,70.33%,14.36%,7.66%,-,0.48,2.27%,3.53%,5.32%,12.33%,36.24%,0.22%,35.10%,0.22%,128.52%,67.51,-0.14%,0.36%,1.30,88.74K,0.42,13.78,0.22%,"36,964",Feb 12/b
57,ACIW,"ACI Worldwide, Inc.",Technology,Technical & System Software,USA,2.66B,71.11,41.76,5.93,2.56,3.52,39.23,27.07,-,0.00%,0.32,51.70%,19.57%,19.50%,12.00%,16.70%,133.40%,4.00%,115.97M,115.95M,1.40%,-9.23%,-,0.00%,5.33%,11.74,2.10%,5.10%,11.00%,1.20,1.20,0.87,0.90,57.00%,9.30%,3.70%,0.88%,1.86%,-4.61%,-5.94%,16.36%,1.32%,1.23,0.54,1.97%,2.29%,0.67%,0.65%,0.76%,-3.32%,4.36%,-8.12%,22.97%,50.61,-0.52%,0.57%,2.00,526.19K,0.86,22.97,0.04%,"451,619",Feb 01/b
58,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,841.27M,22.53,15.00,1.13,2.31,3.31,7.39,22.55,-,0.00%,1.19,-26.80%,24.26%,13.80%,20.00%,-3.50%,409.70%,59.10%,31.27M,30.51M,1.00%,-52.01%,91.50%,12.08%,8.35%,4.10,11.50%,17.20%,6.70%,4.30,2.60,0.19,0.19,38.60%,11.80%,10.80%,-0.09%,-9.58%,-18.73%,16.45%,71.88%,-6.27%,1.04,1.37,5.58%,4.47%,-7.48%,-12.88%,6.12%,-27.40%,7.82%,-27.40%,84.25%,39.64,-4.44%,0.18%,2.40,621.95K,1.20,26.90,-4.27%,"748,782",Feb 06/a
59,ACM,AECOM,Services,Technical Services,USA,6.18B,18.42,12.87,5.00,0.34,1.55,7.60,10.13,-,0.00%,2.13,246.30%,13.51%,43.40%,3.68%,17.20%,1128.30%,12.30%,157.53M,156.46M,0.60%,-13.18%,83.80%,0.06%,2.98%,5.08,2.50%,9.30%,8.20%,1.20,1.20,0.93,0.96,3.80%,3.60%,1.90%,1.50%,5.82%,11.66%,22.76%,4.92%,5.68%,1.71,0.69,1.72%,1.70%,2.42%,4.95%,13.96%,-0.63%,18.40%,-0.63%,30.22%,64.96,-0.18%,0.13%,2.20,917.27K,0.86,39.26,-0.05%,"785,421",Feb 06/b
60,ACMR,"ACM Research, Inc.",Services,"Specialty Retail, Other",USA,82.81M,-,90.50,-,2.45,6.70,4.84,-,-,-,-0.19,-78.90%,-,-,20.00%,-,-170.20%,-39.50%,15.25M,5.16M,5.00%,-,-,-,0.22%,0.29,-,-,120.60%,2.70,1.80,0.00,0.60,46.60%,-,-,8.60%,5.23%,-,-,-,3.43%,-,0.40,10.21%,6.53%,5.12%,-5.44%,-5.40%,-30.74%,14.47%,-36.00%,14.47%,50.58,-5.07%,1.06%,-,39.08K,4.32,5.43,-4.07%,"168,847",-
61,ACN,Accenture plc,Technology,Information Technology Services,Ireland,102.44B,28.46,22.14,2.88,2.71,10.87,27.82,38.02,1.66%,86.00%,5.64,-15.60%,8.59%,7.20%,9.90%,4.30%,12.80%,11.60%,637.87M,591.93M,0.20%,-13.89%,81.80%,0.08%,1.31%,4.04,16.40%,41.70%,40.70%,1.20,1.20,0.00,0.00,30.00%,12.70%,9.40%,0.24%,4.15%,15.27%,24.54%,37.88%,4.91%,1.03,1.86,0.93%,1.04%,2.00%,5.67%,19.29%,-1.17%,12.55%,-1.17%,43.00%,67.27,-0.37%,0.20%,2.20,1.93M,1.01,160.60,-0.17%,"1,949,114",Dec 21/b
62,ACNB,ACNB Corporation,Financial,Regional - Southwest  Banks,USA,213.15M,19.26,-,-,4.54,1.39,4.09,30.89,2.63%,50.60%,1.58,-1.80%,-,4.60%,-,-0.60%,-40.30%,48.00%,7.00M,6.79M,2.90%,5.77%,19.00%,1.14%,0.32%,2.51,0.70%,7.60%,27.30%,-,-,0.00,0.00,-,89.80%,21.00%,0.00%,0.33%,8.36%,5.36%,1.50%,3.05%,0.25,0.45,1.08%,1.32%,1.54%,4.05%,5.75%,-0.16%,13.62%,-6.31%,24.54%,63.59,0.33%,-0.16%,-,8.77K,0.15,30.45,0.16%,"1,303",Feb 02
63,ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,1.25B,-,31.19,-,2.31,1.83,-,18.31,-,-,-1.21,-401.70%,-52.64%,-24.60%,29.00%,12.20%,-95.30%,4.10%,46.00M,45.90M,0.40%,352.34%,-,0.10%,10.84%,5.63,-4.10%,-8.20%,-3.00%,2.80,2.40,0.49,0.00,78.60%,-2.60%,-10.20%,9.49%,24.60%,3.44%,18.60%,29.98%,26.34%,1.59,1.42,6.40%,5.96%,13.37%,21.31%,28.65%,-6.71%,63.75%,-17.88%,99.26%,67.01,-2.52%,0.00%,2.90,883.29K,0.69,27.10,-2.52%,"610,216",Feb 13/b
64,ACRE,Ares Commercial Real Estate Corporation,Financial,REIT - Diversified,USA,375.35M,11.70,11.01,2.34,3.92,0.90,13.31,187.68,8.16%,94.40%,1.13,-4.80%,9.77%,121.60%,5.00%,671.40%,72.90%,37.50%,28.35M,25.61M,0.10%,0.00%,64.70%,0.25%,0.56%,1.22,2.10%,7.70%,2.30%,-,-,2.74,2.74,43.30%,34.60%,33.70%,2.24%,-0.60%,0.00%,2.00%,-3.57%,2.64%,0.70,0.19,1.14%,1.43%,2.39%,0.65%,0.03%,-2.86%,5.92%,-6.89%,6.11%,59.26,-0.08%,0.15%,2.70,116.53K,1.13,13.24,0.08%,"132,067",Jan 31/b
65,ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,USA,734.76M,-,-,-,1049.66,2.91,3.22,-,-,-,-2.16,-95.70%,-62.90%,-,66.00%,-,-26.30%,-,29.82M,27.06M,5.00%,7.86%,92.20%,-4.07%,12.28%,9.27,-29.20%,-30.80%,-,23.40,23.40,0.00,0.00,33.80%,-,-,0.98%,8.02%,-4.57%,-16.05%,-9.28%,-0.08%,-,1.08,4.61%,4.34%,0.26%,3.87%,-4.93%,-6.13%,15.57%,-25.89%,15.57%,51.99,-1.60%,-0.12%,1.30,358.50K,0.83,24.64,-1.72%,"297,223",Feb 06/b
66,ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Medical Appliances & Equipment,USA,100.66M,-,-,-,7.35,-,-,-,-,-,-1.13,-72.90%,0.90%,3.80%,-,74.50%,-11.60%,-55.90%,49.71M,49.45M,1.40%,9.75%,32.90%,-0.45%,10.58%,9.16,-58.70%,236.10%,-35.70%,4.80,4.70,-,-,6.10%,-,-,-1.22%,-3.57%,0.00%,-46.71%,-22.12%,0.00%,2.74,0.08,2.85%,3.95%,-2.35%,-2.75%,-23.53%,-13.83%,9.46%,-64.78%,30.65%,45.42,-1.22%,0.00%,2.30,571.42K,0.65,2.03,-1.22%,"371,261",Feb 08/a
67,ACSF,"American Capital Senior Floating, Ltd.",Financial,Asset Management,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-106.23%,-,0.33,-,-,-,-,-,-,-,-,-,-,1.82%,6.16%,-1.32%,-12.84%,-10.04%,6.41%,-,0.15,1.45%,1.34%,3.28%,4.06%,-6.51%,-1.32%,8.21%,-20.57%,8.21%,64.79,0.45%,-0.45%,3.00,47.45K,0.56,11.20,0.00%,"26,407",-
68,ACSI,AmericanCustomerSatisfactionCoreAlphaETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,1.20%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.27%,3.19%,9.57%,11.26%,19.03%,5.01%,-,0.19,0.48%,0.37%,2.76%,4.75%,10.32%,-0.40%,10.31%,-0.40%,20.22%,72.86,-0.47%,0.11%,-,2.17K,0.87,32.40,-0.37%,"1,880",-
69,ACST,Acasti Pharma Inc.,Healthcare,Biotechnology,Canada,17.20M,-,-,-,-,1.45,-,-,-,-,-0.75,-,-,-,-,-,-,-,14.70M,10.85M,26.17%,0.00%,2.68%,-,0.14%,0.02,-,-,-,-,-,-,-,-,-,-,8.33%,18.27%,-10.64%,-8.59%,-19.31%,24.10%,-,0.11,8.64%,7.69%,17.05%,-12.39%,-10.72%,-65.14%,39.29%,-65.14%,39.29%,49.27,-5.65%,-1.59%,2.00,819.73K,0.93,1.17,-7.14%,"764,628",Feb 12
70,ACT,AdvisorShares Vice ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.50,-,-,-,-,-,-,-,-,-,-,2.06%,5.66%,-,-,-,2.88%,-,0.56,1.01%,1.88%,2.58%,3.56%,3.56%,-8.60%,7.94%,-8.60%,7.94%,-,-0.13%,0.04%,-,32.98K,0.42,26.96,-0.10%,"13,716",-
71,ACTA,Actua Corporation,Technology,Application Software,USA,515.44M,-,-,-,17.59,1.57,15.34,-,-,-,-0.31,72.20%,5.90%,-37.80%,17.50%,53.40%,-360.10%,-,32.52M,29.50M,6.40%,-0.48%,75.10%,-0.07%,0.84%,1.56,-7.70%,-10.00%,-8.80%,5.00,5.00,0.00,0.00,73.60%,-,-,0.32%,1.93%,1.93%,14.03%,7.09%,1.60%,1.66,0.17,1.31%,1.13%,0.67%,1.48%,10.21%,-1.25%,3.26%,-1.25%,33.76%,58.09,0.00%,0.63%,2.50,158.82K,3.66,15.85,0.63%,"580,841",Feb 08/a
72,ACTG,Acacia Research Corporation,Services,Business Services,USA,197.30M,1.65,16.46,0.08,2.35,0.49,1.24,4.34,-,0.00%,2.40,66.70%,-92.38%,-33.20%,20.00%,-2.40%,2137.60%,-43.40%,49.95M,48.35M,2.40%,21.65%,69.30%,-0.32%,2.68%,3.84,37.80%,41.20%,-20.90%,5.90,5.90,0.00,0.00,66.00%,-28.90%,-,5.33%,-7.60%,-5.95%,0.00%,-33.05%,-2.47%,1.16,0.19,5.21%,5.21%,0.48%,-3.59%,-4.95%,-11.24%,9.72%,-37.30%,36.21%,48.07,1.28%,-1.27%,2.70,336.79K,0.21,3.95,0.00%,"69,429",Feb 01/a
73,ACU,Acme United Corporation,Consumer Goods,Housewares & Accessories,USA,78.09M,16.64,13.87,1.66,0.62,1.55,11.16,16.61,1.89%,26.80%,1.40,25.80%,13.56%,12.50%,10.00%,11.20%,-21.70%,6.00%,3.36M,2.96M,9.50%,-0.80%,55.80%,0.54%,0.03%,0.13,5.10%,10.90%,8.60%,5.60,2.90,0.91,0.91,37.10%,6.10%,4.10%,-3.21%,0.00%,-5.14%,-16.10%,-9.57%,-0.68%,0.67,0.87,3.24%,3.35%,-1.83%,-0.18%,-9.34%,-9.04%,13.09%,-21.19%,15.05%,46.60,-3.17%,0.25%,1.00,6.77K,3.31,23.24,-2.92%,"22,416",Feb 22/b
74,ACUR,"Acura Pharmaceuticals, Inc.",Healthcare,Drug Delivery,USA,14.77M,-,1.92,-,2.17,-,-,-,-,-,-0.21,25.80%,180.40%,58.88%,-,-,-,-64.20%,20.80M,7.47M,43.96%,-0.11%,19.98%,-,1.20%,3.38,-,-,-,-,-,-,-,-,-,-,-15.48%,69.05%,61.36%,-,-,75.80%,-,0.09,16.15%,15.08%,42.20%,62.44%,60.86%,-18.41%,148.69%,-18.41%,148.69%,65.07,0.00%,-4.05%,2.00,26.61K,0.96,0.71,-4.05%,"25,610",-
75,ACV,AllianzGI Diversified Income & Convertible Fund,Consumer Goods,Personal Products,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-3.05%,3.20%,-,-,-,-,-,-,-,-,-,-,0.05,-,-,-,-,-,-,-,-,-,-,1.91%,4.18%,3.57%,4.32%,19.29%,5.04%,-,0.26,0.78%,1.19%,2.64%,3.75%,7.08%,-1.08%,6.20%,-1.08%,20.17%,63.84,0.09%,0.53%,3.00,43.41K,0.56,22.94,0.62%,"24,182",-
76,ACWF,iShares Edge MSCI Multifactor Global ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,1.95%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.54,-,-,-,-,-,-,-,-,-,-,1.35%,7.43%,9.81%,16.65%,36.42%,6.82%,-,0.24,0.59%,0.62%,3.80%,6.24%,14.89%,-3.86%,10.47%,-3.86%,31.10%,79.29,-0.41%,0.46%,-,9.29K,1.37,32.76,0.05%,"12,710",-
77,ACWI,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,1.91%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.23,-,-,-,-,-,-,-,-,-,-,1.48%,6.76%,9.72%,14.26%,26.22%,6.51%,-,0.47,0.57%,0.50%,3.64%,6.08%,12.48%,0.07%,10.43%,0.07%,26.99%,83.66,-0.29%,0.38%,-,1.82M,0.93,76.78,0.09%,"1,696,008",-
78,ACWV,iShares Edge MSCI Min Vol Global ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,2.02%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.21%,4.17%,5.48%,8.93%,18.11%,3.47%,-,0.42,0.42%,0.41%,2.32%,3.35%,7.26%,0.13%,5.74%,0.13%,18.80%,81.74,-0.23%,0.45%,-,201.68K,0.66,87.25,0.22%,"132,437",-
79,ACWX,iShares MSCI ACWI ex US ETF,Financial,Exchange Traded Fund,USA,-,-,-,-,-,-,-,-,2.38%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.11,-,-,-,-,-,-,-,-,-,-,1.72%,7.77%,8.99%,13.67%,27.74%,6.85%,-,0.33,0.49%,0.47%,3.89%,6.34%,12.03%,0.32%,10.09%,0.32%,28.47%,82.53,-0.22%,0.56%,-,632.59K,0.95,53.37,0.34%,"601,508",-
80,ACXM,Acxiom Corporation,Technology,Information Technology Services,USA,2.15B,-,25.96,-,2.42,2.88,12.67,21.76,-,-,-0.15,146.20%,27.79%,-37.50%,15.00%,-4.90%,-146.70%,3.60%,78.56M,77.46M,2.10%,0.61%,-,0.10%,4.77%,8.45,-1.00%,-1.60%,1.20%,2.20,2.20,0.30,0.31,47.60%,-0.60%,-1.30%,-4.44%,-0.58%,9.10%,0.74%,4.39%,-0.80%,1.30,0.47,1.95%,1.65%,-2.29%,-0.19%,4.67%,-5.00%,6.13%,-10.07%,25.44%,41.89,-2.46%,0.72%,1.60,437.46K,1.12,27.34,-1.76%,"489,017",Jan 30/a
81,ACY,AeroCentury Corp.,Services,Rental & Leasing Services,USA,22.46M,17.12,7.92,-,0.70,0.53,3.46,-,-,0.00%,0.91,-81.30%,61.48%,23.10%,-,0.60%,-19.70%,31.70%,1.44M,0.83M,41.33%,0.00%,17.70%,-7.28%,0.28%,0.37,0.60%,3.20%,0.70%,-,-,3.77,3.77,-,6.80%,4.20%,0.32%,6.85%,10.86%,22.83%,65.08%,2.36%,-0.75,0.36,1.72%,1.95%,1.51%,5.15%,22.34%,-2.50%,29.46%,-3.11%,73.33%,55.26,1.63%,-0.97%,2.00,6.19K,0.46,15.60,0.65%,"2,833",Feb 08/a
82,ADAP,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom,796.32M,-,-,-,18.91,3.67,3.44,-,-,-,-0.75,-237.10%,-8.00%,-,13.50%,-,96.40%,1025.20%,88.48M,11.25M,0.30%,0.00%,62.50%,1.68%,13.88%,4.57,-21.50%,-28.00%,-44.40%,3.70,3.70,0.00,0.00,-,-,-,14.07%,27.48%,31.96%,61.29%,114.29%,34.73%,-,0.53,9.00%,6.38%,18.20%,16.38%,38.03%,-5.26%,36.36%,-5.26%,131.96%,65.14,-6.83%,2.44%,2.00,342.07K,1.69,9.00,-4.56%,"578,968",Feb 01/b
83,ADBE,Adobe Systems Incorporated,Technology,Application Software,USA,97.73B,58.43,29.16,2.55,13.38,11.94,18.20,37.79,-,0.00%,3.39,45.90%,21.85%,15.30%,22.95%,10.60%,56.00%,25.80%,494.13M,491.22M,0.35%,-3.82%,89.20%,-0.48%,0.75%,1.40,10.90%,18.60%,16.70%,2.00,2.00,0.23,0.23,86.20%,24.90%,19.80%,0.66%,13.30%,14.88%,33.45%,73.92%,12.86%,1.16,3.62,1.92%,1.66%,6.20%,9.00%,26.80%,-3.26%,19.37%,-3.26%,77.64%,67.92,-2.00%,0.86%,1.90,2.64M,1.23,197.78,-1.15%,"3,240,357",Dec 14/a
